name	function
9606.ENSP00000370023	[ 1.  1.]
9606.ENSP00000344331	[ 1.  0.]
9606.ENSP00000311364	[-1 -1]
9606.ENSP00000451511	[ 1.  0.]
9606.ENSP00000380153	[ 1.  0.]
9606.ENSP00000376957	[ 0.  0.]
9606.ENSP00000231509	[ 1.  1.]
9606.ENSP00000259239	[ 1.  1.]
9606.ENSP00000245923	[ 1.  1.]
9606.ENSP00000362763	[ 0.  0.]
9606.ENSP00000359845	[-1 -1]
9606.ENSP00000002829	[ 1.  0.]
9606.ENSP00000218439	[-1 -1]
9606.ENSP00000348216	[ 1.  1.]
9606.ENSP00000249440	[ 0.  0.]
9606.ENSP00000305503	[ 1.  1.]
9606.ENSP00000244513	[-1 -1]
9606.ENSP00000419195	[ 0.  0.]
9606.ENSP00000257245	[ 1.  1.]
9606.ENSP00000269571	[ 1.  1.]
9606.ENSP00000294725	[ 0.  0.]
9606.ENSP00000333684	[ 0.  0.]
9606.ENSP00000352208	[ 1.  1.]
9606.ENSP00000306528	[ 0.  0.]
9606.ENSP00000419765	[ 0.  0.]
9606.ENSP00000237536	[ 1.  0.]
9606.ENSP00000228682	[ 1.  1.]
9606.ENSP00000241416	[ 1.  1.]
9606.ENSP00000265960	[ 1.  1.]
9606.ENSP00000344503	[ 1.  0.]
9606.ENSP00000339145	[ 1.  1.]
9606.ENSP00000319744	[-1 -1]
9606.ENSP00000385268	[-1 -1]
9606.ENSP00000364752	[-1 -1]
9606.ENSP00000351206	[ 1.  1.]
9606.ENSP00000352608	[ 1.  1.]
9606.ENSP00000411004	[ 1.  0.]
9606.ENSP00000238682	[ 1.  1.]
9606.ENSP00000287239	[ 1.  1.]
9606.ENSP00000263754	[ 1.  1.]
9606.ENSP00000358491	[ 1.  1.]
9606.ENSP00000294288	[ 1.  1.]
9606.ENSP00000220584	[ 1.  1.]
9606.ENSP00000398824	[ 1.  1.]
9606.ENSP00000361892	[ 1.  1.]
9606.ENSP00000384848	[ 1.  1.]
9606.ENSP00000339004	[ 0.  0.]
9606.ENSP00000338349	[ 1.  0.]
9606.ENSP00000332151	[ 1.  1.]
9606.ENSP00000389787	[ 1.  1.]
9606.ENSP00000407487	[ 1.  1.]
9606.ENSP00000310491	[ 1.  0.]
9606.ENSP00000264982	[ 1.  1.]
9606.ENSP00000387281	[ 0.  0.]
9606.ENSP00000369682	[ 1.  1.]
9606.ENSP00000357583	[ 0.  0.]
9606.ENSP00000373169	[ 1.  1.]
9606.ENSP00000216832	[ 1.  1.]
9606.ENSP00000216268	[ 1.  1.]
9606.ENSP00000364257	[ 0.  0.]
9606.ENSP00000361882	[ 1.  1.]
9606.ENSP00000417711	[ 1.  1.]
9606.ENSP00000223061	[ 1.  0.]
9606.ENSP00000265295	[ 1.  1.]
9606.ENSP00000232519	[-1 -1]
9606.ENSP00000362029	[ 0.  0.]
9606.ENSP00000428417	[ 1.  0.]
9606.ENSP00000361087	[ 1.  1.]
9606.ENSP00000298292	[ 1.  1.]
9606.ENSP00000360538	[ 1.  1.]
9606.ENSP00000234347	[ 1.  1.]
9606.ENSP00000417185	[ 1.  0.]
9606.ENSP00000355090	[ 0.  0.]
9606.ENSP00000302770	[ 0.  0.]
9606.ENSP00000246421	[ 1.  0.]
9606.ENSP00000348527	[-1 -1]
9606.ENSP00000394791	[ 1.  1.]
9606.ENSP00000301396	[ 1.  1.]
9606.ENSP00000348762	[ 1.  1.]
9606.ENSP00000412673	[ 1.  0.]
9606.ENSP00000263116	[ 0.  0.]
9606.ENSP00000352144	[ 0.  0.]
9606.ENSP00000340748	[ 1.  0.]
9606.ENSP00000452706	[-1 -1]
9606.ENSP00000326003	[ 0.  0.]
9606.ENSP00000221459	[ 1.  0.]
9606.ENSP00000231238	[ 1.  1.]
9606.ENSP00000247270	[ 1.  0.]
9606.ENSP00000377086	[ 0.  0.]
